order_id,customer_id,order_amount_paise,order_status,created_at
ORD00088,CUST0256,1466413,paid,2026-03-29T09:22:00+00:00
ORD00089,CUST0363,67378,paid,2026-05-09T14:24:00+00:00
ORD00090,CUST0360,3138304,paid,2026-03-21T12:02:00+00:00
ORD00091,CUST0234,225919,paid,2026-02-05T10:07:00+00:00
ORD00092,CUST0273,237532,paid,2026-06-18T17:19:00+00:00
ORD00093,CUST0258,6035504,paid,2026-02-12T10:09:00+00:00
ORD00094,CUST0467,156703,paid,2026-06-11T09:23:00+00:00
ORD00095,CUST0471,23798,paid,2026-02-03T13:43:00+00:00
ORD00096,CUST0467,243902,paid,2026-04-22T15:55:00+00:00
ORD00097,CUST0084,243171,paid,2026-06-23T10:24:00+00:00
ORD00098,CUST0487,77241,paid,2026-06-23T11:10:00+00:00
ORD00099,CUST0005,106437,paid,2026-06-23T12:13:00+00:00
ORD00100,CUST0239,89567,paid,2026-05-10T15:43:00+00:00
ORD00101,CUST0453,29715,paid,2026-05-10T10:10:00+00:00
ORD00102,CUST0317,113116,paid,2026-05-10T12:59:00+00:00
ORD00103,CUST0319,600106,paid,2026-05-10T11:14:00+00:00
ORD00104,CUST0265,241491,paid,2026-06-05T19:00:00+00:00
ORD00105,CUST0496,108649,paid,2026-02-21T16:33:00+00:00
ORD00106,CUST0146,61976,paid,2026-02-21T14:41:00+00:00
ORD00107,CUST0030,7280524,paid,2026-02-21T13:46:00+00:00
ORD00108,CUST0456,1475321,paid,2026-02-21T12:04:00+00:00
ORD00109,CUST0500,464363,paid,2026-03-02T14:18:00+00:00
ORD00110,CUST0033,82368,paid,2026-03-04T17:32:00+00:00
ORD00111,CUST0031,326429,paid,2026-04-18T13:15:00+00:00
ORD00112,CUST0413,573912,paid,2026-04-24T18:01:00+00:00
ORD00113,CUST0375,243280,paid,2026-05-09T20:44:00+00:00
ORD00114,CUST0084,841175,paid,2026-04-05T11:06:00+00:00
ORD00115,CUST0460,206644,paid,2026-06-22T19:05:00+00:00
ORD00116,CUST0221,1468525,paid,2026-06-10T12:20:00+00:00
ORD00117,CUST0425,498664,paid,2026-03-03T20:50:00+00:00
