txn_id,order_id,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,captured_at,payment_status
TXN00088,ORD00081,199397,3988,718,194691,2026-06-19T15:41:00+00:00,captured
TXN00089,ORD00082,229174,4583,825,223766,2026-05-21T10:28:00+00:00,captured
TXN00090,ORD00083,107090,2142,386,104562,2026-04-19T12:24:00+00:00,captured
TXN00091,ORD00084,161714,3234,582,157898,2026-03-31T23:30:00+00:00,captured
TXN00092,ORD00085,1157955,23159,4169,1130627,2026-01-21T10:19:00+00:00,captured
TXN00093,ORD00085,1157955,23159,4169,1130627,2026-01-21T10:46:00+00:00,captured
TXN00094,ORD00086,1231104,24622,4432,1202050,2026-03-14T13:44:00+00:00,captured
TXN00095,ORD00087,6587692,131754,23716,6432222,2026-03-14T14:01:00+00:00,captured
TXN00096,ORD00088,1466413,29328,5279,1431806,2026-03-29T09:56:00+00:00,captured
TXN00097,ORD00089,67378,1348,243,65787,2026-05-09T17:21:00+00:00,captured
TXN00098,ORD00090,3138304,62766,11298,3064240,2026-03-21T14:25:00+00:00,captured
TXN00099,ORD00091,225919,4518,813,220588,2026-02-05T11:00:00+00:00,captured
TXN00100,ORD00092,237532,4751,855,231926,2026-06-18T21:10:00+00:00,captured
TXN00101,ORD00093,6035504,120710,21728,5893066,2026-02-12T12:21:00+00:00,captured
TXN00102,ORD00094,156703,3134,564,153005,2026-06-11T11:14:00+00:00,captured
TXN00103,ORD00095,23798,476,86,23236,2026-02-03T15:19:00+00:00,captured
TXN00104,ORD00096,243902,4878,878,238146,2026-04-22T17:25:00+00:00,captured
TXN00105,ORD00097,243171,4863,875,237433,2026-06-23T11:54:00+00:00,captured
TXN00106,ORD00098,77241,1545,278,75418,2026-06-23T11:59:00+00:00,captured
TXN00107,ORD00099,106437,2129,383,103925,2026-06-23T14:16:00+00:00,captured
TXN00108,ORD00100,89567,1791,322,87454,2026-05-10T18:34:00+00:00,captured
TXN00109,ORD00101,29715,594,107,29014,2026-05-10T13:01:00+00:00,captured
TXN00110,ORD00102,113116,2262,407,110447,2026-05-10T16:10:00+00:00,captured
TXN00111,ORD00103,600106,12002,2160,585944,2026-05-10T14:49:00+00:00,captured
TXN00112,ORD00104,241491,4830,869,235792,2026-06-05T20:53:00+00:00,captured
TXN00113,ORD00105,108649,2173,391,106085,2026-02-21T19:10:00+00:00,captured
TXN00114,ORD00106,61976,1240,223,60513,2026-02-21T18:27:00+00:00,captured
TXN00115,ORD00107,7280524,145610,26210,7108704,2026-02-21T17:22:00+00:00,captured
TXN00116,ORD00108,1475321,29506,5311,1440504,2026-02-21T12:54:00+00:00,captured
TXN00117,ORD00109,464363,9287,1672,453404,2026-03-02T15:39:00+00:00,captured
TXN00118,ORD00109,464363,9287,1672,453404,2026-03-02T16:06:00+00:00,captured
TXN00119,ORD00110,82368,1647,296,80425,2026-03-04T20:48:00+00:00,captured
TXN00120,ORD00111,326429,6529,1175,318725,2026-04-18T15:57:00+00:00,captured
TXN00121,ORD00112,573912,11478,2066,560368,2026-04-24T20:48:00+00:00,captured
TXN00122,ORD00113,243280,4866,876,237538,2026-05-09T20:54:00+00:00,captured
TXN00123,ORD00114,841175,16824,3028,821323,2026-04-05T11:34:00+00:00,captured
TXN00124,ORD00115,206644,4133,744,201767,2026-06-22T19:33:00+00:00,captured
TXN00125,ORD00116,1468525,29370,5287,1433868,2026-06-10T15:39:00+00:00,captured
TXN00126,ORD00116,1468525,29370,5287,1433868,2026-06-10T15:41:00+00:00,captured
TXN00127,ORD00117,498664,9973,1795,486896,2026-03-04T00:16:00+00:00,captured
